id_hecho,FECHA,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_DE_LA_SEMANA,semestre,ANIO,MES,DIA
2017-0010,2017-01-16,CONDUCTOR,MOTO,MASCULINO,23,1/16/2017,Lunes,1,2017,1,16
2017-0011,2017-01-22,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,29,1/22/2017,Domingo,1,2017,1,22
2017-0012,2017-01-24,CONDUCTOR,MOTO,MASCULINO,30,1/24/2017,Martes,1,2017,1,24
2017-0013,2017-01-27,PEATON,PEATON,MASCULINO,4,1/27/2017,Viernes,1,2017,1,27
2017-0014,2017-01-28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22,1/28/2017,Sábado,1,2017,1,28
2017-0015,2017-02-02,PEATON,PEATON,MASCULINO,82,2/21/2017,Jueves,1,2017,2,2
2017-0016,2017-02-03,CONDUCTOR,MOTO,MASCULINO,27,2/4/2017,Viernes,1,2017,2,3
2017-0017,2017-02-06,CONDUCTOR,MOTO,MASCULINO,32,2/6/2017,Lunes,1,2017,2,6
2017-0018,2017-02-09,CONDUCTOR,MOTO,MASCULINO,30,2/9/2017,Jueves,1,2017,2,9
2017-0021,2017-02-18,CONDUCTOR,MOTO,MASCULINO,43,2/18/2017,Sábado,1,2017,2,18
2017-0024,2017-02-23,PEATON,PEATON,MASCULINO,39,2/23/2017,Jueves,1,2017,2,23
2017-0025,2017-02-24,CONDUCTOR,MOTO,MASCULINO,23,2/24/2017,Viernes,1,2017,2,24
2017-0026,2017-02-26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23,2/26/2017,Domingo,1,2017,2,26
2017-0026,2017-02-26,CONDUCTOR,AUTO,MASCULINO,19,2/26/2017,Domingo,1,2017,2,26
2017-0027,2017-02-26,PEATON,PEATON,MASCULINO,30,2/26/2017,Domingo,1,2017,2,26
2017-0028,2017-02-28,PEATON,PEATON,MASCULINO,87,2/28/2017,Martes,1,2017,2,28
2017-0029,2017-03-07,CONDUCTOR,MOTO,MASCULINO,34,3/7/2017,Martes,1,2017,3,7
2017-0030,2017-03-07,CONDUCTOR,AUTO,FEMENINO,27,3/7/2017,Martes,1,2017,3,7
2017-0031,2017-03-11,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,70,3/11/2017,Sábado,1,2017,3,11
2017-0032,2017-03-12,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,40,3/12/2017,Domingo,1,2017,3,12
2017-0033,2017-03-12,CONDUCTOR,AUTO,MASCULINO,28,3/12/2017,Domingo,1,2017,3,12
2017-0034,2017-03-13,PEATON,PEATON,MASCULINO,43,3/13/2017,Lunes,1,2017,3,13
2017-0035,2017-03-23,CONDUCTOR,AUTO,MASCULINO,28,3/23/2017,Jueves,1,2017,3,23
2017-0035,2017-03-23,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,32,3/23/2017,Jueves,1,2017,3,23
2017-0035,2017-03-23,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30,3/23/2017,Jueves,1,2017,3,23
2017-0036,2017-03-29,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30,3/29/2017,Miércoles,1,2017,3,29
2017-0036,2017-03-29,CONDUCTOR,MOTO,MASCULINO,20,3/29/2017,Miércoles,1,2017,3,29
2017-0037,2017-03-31,CONDUCTOR,MOTO,MASCULINO,41,3/31/2017,Viernes,1,2017,3,31
2017-0038,2017-04-01,CONDUCTOR,MOTO,FEMENINO,40,4/1/2017,Sábado,1,2017,4,1
2017-0040,2017-04-03,CONDUCTOR,AUTO,MASCULINO,43,4/3/2017,Lunes,1,2017,4,3
2017-0041,2017-04-03,CONDUCTOR,MOTO,MASCULINO,17,5,Lunes,1,2017,4,3
2017-0042,2017-04-10,CONDUCTOR,MOTO,MASCULINO,30,4/10/2017,Lunes,1,2017,4,10
2017-0045,2017-04-14,CONDUCTOR,MOTO,MASCULINO,21,4/14/2017,Viernes,1,2017,4,14
2017-0047,2017-04-23,CONDUCTOR,MOTO,MASCULINO,37,4/23/2017,Domingo,1,2017,4,23
2017-0049,2017-04-27,PEATON,PEATON,MASCULINO,22,4/27/2017,Jueves,1,2017,4,27
2017-0050,2017-04-28,CONDUCTOR,MOTO,MASCULINO,46,4/28/2017,Viernes,1,2017,4,28
2017-0050,2017-04-28,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,16,4/28/2017,Viernes,1,2017,4,28
2017-0051,2017-05-01,CONDUCTOR,AUTO,MASCULINO,33,5/1/2017,Lunes,1,2017,5,1
2017-0052,2017-05-05,PEATON,PEATON,FEMENINO,47,5/5/2017,Viernes,1,2017,5,5
2017-0053,2017-05-05,CONDUCTOR,MOTO,MASCULINO,28,5/5/2017,Viernes,1,2017,5,5
2017-0054,2017-05-07,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,20,5/7/2017,Domingo,1,2017,5,7
2017-0055,2017-05-09,CONDUCTOR,AUTO,MASCULINO,32,5/9/2017,Martes,1,2017,5,9
2017-0058,2017-05-09,PEATON,PEATON,MASCULINO,80,5/9/2017,Martes,1,2017,5,9
2017-0059,2017-05-11,PEATON,PEATON,FEMENINO,39,5/11/2017,Jueves,1,2017,5,11
2017-0060,2017-05-13,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30,5/13/2017,Sábado,1,2017,5,13
2017-0061,2017-05-15,PEATON,PEATON,MASCULINO,47,5/16/2017,Lunes,1,2017,5,15
2017-0062,2017-05-15,CONDUCTOR,MOTO,MASCULINO,35,5/15/2017,Lunes,1,2017,5,15
2017-0063,2017-05-17,PEATON,PEATON,FEMENINO,79,5/17/2017,Miércoles,1,2017,5,17
2017-0064,2017-05-20,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,61,5/20/2017,Sábado,1,2017,5,20
2017-0065,2017-05-22,CICLISTA,BICICLETA,MASCULINO,21,5/22/2017,Lunes,1,2017,5,22
2017-0066,2017-05-22,PEATON,PEATON,MASCULINO,10,5/22/2017,Lunes,1,2017,5,22
2017-0067,2017-05-23,CONDUCTOR,MOTO,MASCULINO,21,5/23/2017,Martes,1,2017,5,23
2017-0068,2017-05-27,CONDUCTOR,MOTO,MASCULINO,32,5/27/2017,Sábado,1,2017,5,27
2017-0069,2017-05-29,CONDUCTOR,MOTO,MASCULINO,39,5/29/2017,Lunes,1,2017,5,29
2017-0070,2017-05-30,PEATON,PEATON,MASCULINO,80,5/31/2017,Martes,1,2017,5,30
2017-0072,2017-06-03,CONDUCTOR,AUTO,MASCULINO,25,6/3/2017,Sábado,1,2017,6,3
2017-0073,2017-06-04,CONDUCTOR,MOTO,MASCULINO,19,6/4/2017,Domingo,1,2017,6,4
2017-0074,2017-06-04,CONDUCTOR,MOTO,MASCULINO,70,6/4/2017,Domingo,1,2017,6,4
2017-0075,2017-06-12,PEATON,PEATON,MASCULINO,55,6/12/2017,Lunes,1,2017,6,12
2017-0076,2017-06-13,PEATON,PEATON,FEMENINO,30,6/13/2017,Martes,1,2017,6,13
2017-0077,2017-06-17,CONDUCTOR,MOTO,FEMENINO,60,6/18/2017,Sábado,1,2017,6,17
2017-0079,2017-06-19,CONDUCTOR,MOTO,MASCULINO,33,6/19/2017,Lunes,1,2017,6,19
2017-0080,2017-06-22,PEATON,PEATON,FEMENINO,95,6/22/2017,Jueves,1,2017,6,22
2017-0082,2017-06-25,PEATON,PEATON,MASCULINO,36,6/25/2017,Domingo,1,2017,6,25
2017-0083,2017-07-04,CONDUCTOR,MOTO,MASCULINO,37,7/4/2017,Martes,2,2017,7,4
2017-0084,2017-07-05,PEATON,PEATON,FEMENINO,73,7/5/2017,Miércoles,2,2017,7,5
2017-0085,2017-07-07,PEATON,PEATON,MASCULINO,84,7/7/2017,Viernes,2,2017,7,7
2017-0086,2017-07-09,PEATON,PEATON,FEMENINO,30,7/9/2017,Domingo,2,2017,7,9
2017-0087,2017-07-10,PEATON,PEATON,FEMENINO,73,7/10/2017,Lunes,2,2017,7,10
2017-0088,2017-07-10,PEATON,PEATON,MASCULINO,43,7/10/2017,Lunes,2,2017,7,10
2017-0089,2017-07-13,CONDUCTOR,MOTO,MASCULINO,23,5,Jueves,2,2017,7,13
2017-0090,2017-07-15,PEATON,PEATON,MASCULINO,22,7/15/2017,Sábado,2,2017,7,15
2017-0091,2017-07-15,CONDUCTOR,MOTO,MASCULINO,58,7/15/2017,Sábado,2,2017,7,15
2017-0092,2017-07-24,PEATON,PEATON,MASCULINO,66,7/24/2017,Lunes,2,2017,7,24
2017-0093,2017-07-25,PEATON,PEATON,MASCULINO,30,7/25/2017,Martes,2,2017,7,25
2017-0094,2017-07-27,CICLISTA,BICICLETA,FEMENINO,56,7/27/2017,Jueves,2,2017,7,27
2017-0095,2017-08-06,CONDUCTOR,MOTO,MASCULINO,36,8/6/2017,Domingo,2,2017,8,6
2017-0096,2017-08-07,PEATON,PEATON,MASCULINO,87,8/7/2017,Lunes,2,2017,8,7
2017-0098,2017-08-08,PEATON,PEATON,FEMENINO,61,8/8/2017,Martes,2,2017,8,8
2017-0099,2017-08-17,CICLISTA,BICICLETA,MASCULINO,28,8/17/2017,Jueves,2,2017,8,17
2017-0100,2017-08-21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,16,8/21/2017,Lunes,2,2017,8,21
2017-0101,2017-08-23,PEATON,PEATON,FEMENINO,61,8/23/2017,Miércoles,2,2017,8,23
2017-0102,2017-08-24,PEATON,PEATON,MASCULINO,46,8/24/2017,Jueves,2,2017,8,24
2017-0104,2017-08-25,PEATON,PEATON,FEMENINO,18,8/25/2017,Viernes,2,2017,8,25
2017-0106,2017-08-31,PEATON,PEATON,FEMENINO,85,8/31/2017,Jueves,2,2017,8,31
2017-0107,2017-09-01,CONDUCTOR,MOTO,MASCULINO,41,9/1/2017,Viernes,2,2017,9,1
2017-0108,2017-09-02,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,17,9/2/2017,Sábado,2,2017,9,2
2017-0108,2017-09-02,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,10,9/2/2017,Sábado,2,2017,9,2
2017-0109,2017-09-04,CONDUCTOR,MOTO,MASCULINO,21,9/5/2017,Lunes,2,2017,9,4
2017-0110,2017-09-06,PEATON,PEATON,MASCULINO,56,9/7/2017,Miércoles,2,2017,9,6
2017-0111,2017-09-07,PEATON,PEATON,FEMENINO,79,9/7/2017,Jueves,2,2017,9,7
2017-0112,2017-09-10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,1,5,Domingo,2,2017,9,10
2017-0112,2017-09-10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30,9/13/2017,Domingo,2,2017,9,10
2017-0113,2017-09-11,PEATON,PEATON,FEMENINO,76,9/11/2017,Lunes,2,2017,9,11
