id_hecho,N_VICTIMAS,FECHA,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,longitud,latitud,VICTIMA,ACUSADO,HORA
2016-0154,1,11/26/2016,GRAL PAZ,"PAZ, GRAL. AV. 15200",8,-58.49007772,-34.68251141,MOTO,MOTO,14
2016-0155,1,11/26/2016,CALLE,MADERO 900,10,-58.52756365,-34.62772274,PEATON,AUTO,16
2016-0156,1,11/26/2016,AVENIDA,INDEPENDENCIA AV. y DEAN FUNES,3,-58.40638983,-34.61943202,MOTO,PASAJEROS,19
2016-0157,1,12/3/2016,AVENIDA,"JUSTO, JUAN B. AV. 5645",11,-58.47576807,-34.61740997,MOTO,MOTO,6
2016-0159,1,12/4/2016,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,AUTO,AUTO,7
2016-0160,1,12/6/2016,AUTOPISTA,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),9,-58.51927194,-34.63635787,CARGAS,OBJETO FIJO,5
2016-0161,1,12/6/2016,AVENIDA,SANTA FE AV. y GODOY CRUZ,14,-58.42525456,-34.57866344,PEATON,PASAJEROS,7
2016-0162,1,12/7/2016,AVENIDA,"LACROZE, FEDERICO AV. y FOREST AV.",15,-58.45396573,-34.58518167,PEATON,AUTO,5
2016-0163,1,12/10/2016,GRAL PAZ,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,-58.52340614,-34.59798754,MOTO,AUTO,7
2016-0164,1,12/11/2016,AVENIDA,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,AUTO,AUTO,6
2016-0165,1,12/12/2016,AVENIDA,"GARCIA, MARTIN AV. 300",4,-58.36926144,-34.62841919,BICICLETA,PASAJEROS,8
2016-0168,1,12/13/2016,AVENIDA,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,MOTO,AUTO,10
2016-0169,1,12/15/2016,AVENIDA,"NUÃ‘EZ y BALBIN, RICARDO, DR. AV.",12,-58.47935434,-34.55676497,MOTO,PASAJEROS,15
2016-0170,1,12/19/2016,GRAL PAZ,"PAZ, GRAL. AV. 4500",12,-58.50598256,-34.5637998,MOTO,AUTO,17
2016-0171,1,12/25/2016,AUTOPISTA,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",1,-58.36607137,-34.62150748,MOTO,MOTO,19
2016-0172,1,12/26/2016,AVENIDA,"GARAY, JUAN DE AV. y CASTRO",5,-58.41918902,-34.63174259,MOTO,CARGAS,8
2016-0173,1,12/26/2016,AVENIDA,DIRECTORIO AV. y SAN PEDRITO AV.,7,-58.46749188,-34.63551751,MOTO,CARGAS,19
2016-0174,1,12/27/2016,AUTOPISTA,AUTOPISTA 25 DE MAYO,0,,,MOTO,AUTO,0
2016-0175,1,12/27/2016,CALLE,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",7,-58.46064174,-34.62960517,PEATON,BICICLETA,8
2016-0176,1,12/28/2016,AVENIDA,BELGRANO AV. y PASEO COLON AV.,1,-58.36956186,-34.61232875,MOTO,PASAJEROS,1
2016-0177,1,12/29/2016,CALLE,ARENALES 3319,14,-58.40966671,-34.58788235,PEATON,AUTO,4
2016-0178,1,12/30/2016,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,3,-58.40288226,-34.61544091,PEATON,MULTIPLE,16
2017-0001,1,1/2/2017,AVENIDA,"JUSTO, JUAN B. AV. y ACHUPALLAS",11,-58.4659423,-34.61028571,MOTO,CARGAS,1
2017-0003,1,1/5/2017,AVENIDA,OLAVARRIA y VELEZ SARSFIELD AV.,4,-58.38957669,-34.64410277,CARGAS,CARGAS,3
2017-0007,1,1/11/2017,CALLE,LIMA y MEXICO,1,-58.3816166,-34.61529543,PEATON,MULTIPLE,17
2017-0008,1,1/16/2017,CALLE,"CABRERA, JOSE A. y BONPLAND",14,-58.43917004,-34.58494351,MOTO,PASAJEROS,0
2017-0009,1,1/16/2017,AUTOPISTA,AUTOPISTA 25 DE MAYO y BOEDO AV.,5,-58.41595919,-34.62743346,MOTO,CARGAS,13
2017-0010,1,1/16/2017,AVENIDA,DIRECTORIO AV. y RIGLOS,6,-58.4356488,-34.62828656,MOTO,AUTO,16
2017-0011,1,1/22/2017,GRAL PAZ,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,-58.5007381,-34.5497951,MOTO,OBJETO FIJO,2
2017-0012,1,1/24/2017,CALLE,"TRAFUL y TABORDA, DIOGENES",4,-58.40969005,-34.6505529,MOTO,CARGAS,14
2017-0013,1,1/27/2017,AVENIDA,"IRIARTE, GRAL. AV. 3055",4,-58.38972622,-34.65098981,PEATON,CARGAS,7
2017-0014,1,1/28/2017,AVENIDA,DONADO y ARIAS,12,-58.49185972,-34.55046754,MOTO,MULTIPLE,8
2017-0015,1,2/2/2017,AVENIDA,CORDOBA AV. y CALLAO AV.,2,-58.39293417,-34.59963642,PEATON,AUTO,15
2017-0016,1,2/3/2017,AUTOPISTA,AUTOPISTA 25 DE MAYO KM. 8.3,1,-58.38099494,-34.62288231,MOTO,CARGAS,5
2017-0017,1,2/6/2017,AVENIDA,"JUSTO, JUAN B. AV. y PARAGUAY",14,-58.429012,-34.58095431,MOTO,AUTO,8
2017-0018,1,2/9/2017,GRAL PAZ,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO,7
2017-0021,1,2/18/2017,CALLE,SARMIENTO y LIBERTAD,1,-58.38362373,-34.60509972,MOTO,PASAJEROS,5
2017-0024,1,2/23/2017,AVENIDA,RIVADAVIA AV. 7121,7,-58.46589308,-34.62955795,PEATON,PASAJEROS,20
2017-0025,1,2/24/2017,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",7,-58.43614426,-34.6542464,MOTO,AUTO,17
2017-0026,2,2/26/2017,AVENIDA,"MORENO, PERITO AV. y FOURNIER",4,-58.41842777,-34.64979057,AUTO,OBJETO FIJO,5
2017-0027,1,2/26/2017,AVENIDA,CASEROS AV. 1429,1,-58.38332245,-34.6319325,PEATON,AUTO,21
2017-0028,1,2/28/2017,AVENIDA,GAONA AV. y FRAGATA PRES. SARMIENTO,6,-58.45475488,-34.61196327,PEATON,AUTO,9
2017-0029,1,3/7/2017,CALLE,MOZART y TANDIL,9,-58.48501341,-34.64742455,MOTO,AUTO,2
2017-0030,1,3/7/2017,AVENIDA,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9,-58.47010988,-34.65872088,AUTO,PASAJEROS,8
2017-0031,1,3/11/2017,CALLE,24 DE NOVIEMBRE y PAVON,3,-58.4099756,-34.62873635,AUTO,OBJETO FIJO,1
2017-0032,1,3/12/2017,GRAL PAZ,"PAZ, GRAL. AV. y LOS CEDROS",8,-58.48892175,-34.68359163,AUTO,AUTO,5
