ID,pos x,pos y
2020-0071,-58.46749188,-34.63551751
2020-0072,-58.40280471,-34.62113271
2020-0073,-58.44451316,-34.68475866
2020-0074,-58.47110424,-34.62742408
2020-0075,-58.38220928,-34.60373898
2020-0076,-58.49794468,-34.61565025
2020-0077,-58.47220945,-34.60111373
2020-0078,-58.43706741,-34.63217813
2020-0079,-58.49332664,-34.54836855
2021-0001,-58.37960727,-34.62622851
2021-0002,-58.51061062,-34.64972472
2021-0003,-58.43052224,-34.62941648
2021-0004,-58.41455544,-34.63866836
2021-0005,-58.46774439,-34.64730145
2021-0006,-58.40786274,-34.56726817
2021-0007,-58.48744301,-34.58622275
2021-0008,-58.41657793,-34.65476216
2021-0009,-58.45351111,-34.61134937
2021-0010,-58.50073810,-34.54979510
2021-0011,-58.39144148,-34.59564871
2021-0012,-58.48191128,-34.68385968
2021-0013,-58.48727942,-34.63652467
2021-0014,-58.48328708,-34.59779521
2021-0015,-58.49018543,-34.59724990
2021-0016,-58.47230127,-34.68482689
2021-0017,-58.38262614,-34.63168269
2021-0018,-58.41047268,-34.60793518
2021-0019,-58.49659234,-34.56353635
2021-0020,-58.42462955,-34.60727189
2021-0021,-58.41168345,-34.61185625
2021-0022,-58.45157681,-34.55217303
2021-0023,.,.
2021-0024,-58.49573651,-34.67006054
2021-0025,-58.48695354,-34.68795245
2021-0026,-58.37562539,-34.64449357
2021-0027,-58.49491054,-34.54795581
2021-0028,-58.44147621,-34.64357704
2021-0029,-58.46899119,-34.63215432
2021-0030,-58.38685612,-34.63455776
2021-0031,-58.38113667,-34.61765323
2021-0032,-58.44112678,-34.54538956
2021-0033,-58.41595919,-34.62743346
2021-0034,-58.40184094,-34.64546845
2021-0035,-58.44642231,-34.65679806
2021-0036,-58.52340614,-34.59798754
2021-0037,-58.46649069,-34.56219075
2021-0038,-58.42653328,-34.57816791
2021-0039,-58.50407099,-34.65303372
2021-0040,-58.46743471,-34.53476874
2021-0041,-58.40986646,-34.57728060
2021-0042,-58.51739138,-34.63931792
2021-0043,-58.50719962,-34.65556223
2021-0044,-58.46712311,-34.64600222
2021-0045,-58.37709334,-34.64035082
2021-0046,-58.46033141,-34.58569883
2021-0047,-58.42190745,-34.65633192
2021-0048,-58.49026573,-34.56981410
2021-0049,-58.45410344,-34.66902702
2021-0050,-58.44751621,-34.55719892
2021-0051,-58.42040352,-34.66005171
2021-0052,-58.49530249,-34.68010798
2021-0053,-58.44399875,-34.59477360
2021-0054,-58.42759813,-34.65463857
2021-0055,-58.40547222,-34.60456293
2021-0056,-58.42473018,-34.65008280
2021-0057,-58.39257023,-34.57563957
2021-0058,-58.48941042,-34.54596153
2021-0059,-58.39640740,-34.62783085
2021-0060,-58.41971993,-34.61112240
2021-0061,-58.40544588,-34.65012801
2021-0062,-58.42003882,-34.64645957
2021-0063,-58.46851293,-34.63348678
2021-0064,-58.52931141,-34.65422917
2021-0065,-58.42675754,-34.62699730
2021-0066,-58.52933723,-34.61098186
2021-0067,-58.37910943,-34.62764718
2021-0068,-58.52161176,-34.61164474
2021-0069,-58.41354692,-34.58697680
2021-0070,-58.43960781,-34.65470804
2021-0071,-58.40454610,-34.60003693
2021-0072,-58.39303911,-34.59871111
2021-0073,-58.39391034,-34.58405348
2021-0074,-58.50073810,-34.54979510
2021-0075,-58.38281301,-34.62786038
2021-0076,-58.43980799,-34.65094083
2021-0077,-58.44402387,-34.62933109
2021-0078,-58.42779702,-34.62207347
2021-0079,-58.40944147,-34.60097942
2021-0080,-58.38277479,-34.59430160
2021-0081,-58.37627355,-34.63800916
2021-0082,-58.39591856,-34.62453459
2021-0083,-58.45829717,-34.56015762
2021-0084,-58.49142611,-34.64584795
2021-0085,-58.51271409,-34.57786555
2021-0086,-58.44864864,-34.62352826
2021-0087,-58.37795815,-34.59167894
2021-0088,-58.45531707,-34.55555257
2021-0089,-58.47633683,-34.62140594
2021-0090,-58.38188582,-34.60256036
2021-0091,-58.51989389,-34.62284918
2021-0092,-58.40596860,-34.61011987
2021-0093,-58.43353773,-34.64561636
2021-0094,-58.46739825,-34.65117757
2021-0095,-58.47293407,-34.61984745
2021-0096,-58.47066794,-34.65021673
2021-0097,-58.37976155,-34.58679619
